Iter:8400/10280; Total Loss: 0.2687; Cls Loss: 0.2520
Iter:8500/10280; Total Loss: 0.2905; Cls Loss: 0.2742
Iter:8600/10280; Total Loss: 0.1840; Cls Loss: 0.1662
Iter:8700/10280; Total Loss: 0.2869; Cls Loss: 0.2673
Iter:8800/10280; Total Loss: 0.2539; Cls Loss: 0.2382
Iter:8900/10280; Total Loss: 0.0443; Cls Loss: 0.0247
Iter:9000/10280; Total Loss: 0.1442; Cls Loss: 0.1265
Iter:9100/10280; Total Loss: 0.0351; Cls Loss: 0.0189
Iter:9200/10280; Total Loss: 0.0457; Cls Loss: 0.0240
Task: ogbg-molhiv, Iter:9252; ROC-AUC = 66.51%
Iter:9300/10280; Total Loss: 0.0414; Cls Loss: 0.0221
Iter:9400/10280; Total Loss: 0.1733; Cls Loss: 0.1557
Iter:9500/10280; Total Loss: 0.3003; Cls Loss: 0.2813
Iter:9600/10280; Total Loss: 0.0466; Cls Loss: 0.0244
Iter:9700/10280; Total Loss: 0.4911; Cls Loss: 0.4729
Iter:9800/10280; Total Loss: 0.3005; Cls Loss: 0.2786
Iter:9900/10280; Total Loss: 0.3578; Cls Loss: 0.3383
Iter:10000/10280; Total Loss: 0.0363; Cls Loss: 0.0196
Iter:10100/10280; Total Loss: 0.2563; Cls Loss: 0.2400
Iter:10200/10280; Total Loss: 0.1604; Cls Loss: 0.1395
Task: ogbg-molhiv, Iter:10280; ROC-AUC = 68.53%
